Age,Gender,Experience,Industry,FamilyStatus,Location,InterpersonalRelationships,Commuting,WorkEfficiency,Housework,FamilyTime,Sleep,SocialIsolation,EconomicResources,RemoteWorkCompatability,Motivation,PhysicalEnvironment,Wellbeing,MentalHealth,PhysicalHealth,Sociability,ManagingRole,RemoteWorkExtent,RemoteWorkSupport,Productivity
45,Male,3,Other Services,Couple with dependent children,Metro,1,-2.0,2.0,0.0,0.0,0.0,3,3,3,2,2,3,3,3,2,No,2,3,3
50,Male,3,Construction,Couple with no dependent children,Metro,2,-1.5,2.0,2.0,-2.0,-0.5,3,3,2,2,2,2,2,2,2,No,1,2,3
43,Female,1,Financial and Insurance,Single person,Metro,1,-2.0,0.0,1.0,1.0,0.0,2,2,1,3,3,2,3,2,1,No,3,3,2
59,Female,2,Health Care and Social Assistance,One parent family with dependent children,Regional,1,0.0,0.0,-2.0,1.0,1.0,1,1,1,1,1,1,3,3,3,Yes,2,2,3
36,Male,2,Manufacturing,Couple with dependent children,Metro,2,-1.0,0.0,2.0,-1.0,0.0,2,2,2,2,2,2,2,2,2,No,2,2,2
48,Male,3,Public Administration and Safety,Couple with dependent children,Metro,1,-1.0,0.0,0.0,1.0,0.0,2,2,2,3,2,2,3,3,3,Yes,3,2,2
29,Female,2,Administrative and Support,Couple with no dependent children,Metro,1,-1.0,0.5,0.0,-0.5,1.0,1,1,1,2,2,2,3,3,2,No,3,3,2
51,Female,3,Administrative and Support,One parent family with dependent children,Metro,2,0.0,-1.0,0.0,1.0,0.0,2,2,2,3,3,3,3,3,1,No,3,2,1
40,Female,2,Other Services,Couple with no dependent children,Metro,2,-1.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,3,3,1,No,3,3,3
41,Female,2,"Electricity, Gas, Water and Waste",Group household,Metro,1,-2.0,0.0,2.0,0.0,0.0,3,3,3,3,3,3,3,3,3,Yes,3,3,3
62,Male,2,Construction,Couple with dependent children,Metro,3,0.0,0.0,0.0,0.0,0.0,2,2,2,2,2,3,3,2,3,Yes,1,2,2
29,Female,1,Other Services,Couple with dependent children,Metro,3,-3.0,4.0,0.0,-1.0,0.0,2,2,2,2,2,2,2,2,2,Yes,2,3,2
53,Female,3,Administrative and Support,Couple with no dependent children,Metro,2,-2.5,0.0,1.0,0.5,1.0,1,3,1,2,1,3,1,1,3,No,2,2,1
45,Male,3,"Professional, Scientific and Technical",Single person,Metro,3,-1.0,1.0,0.0,1.0,-1.0,2,2,2,2,2,2,3,3,3,No,3,3,3
48,Male,3,Education and Training,Single person,Metro,2,-1.0,0.0,0.0,1.0,0.0,2,2,2,2,2,2,2,2,2,Yes,1,2,3
